model_id,dataset_id,prompt_id,subset_id,input_type,layer,fold,direction_optimal_cut,direction_optimal_train_set_cut,direction_test_roc_auc,direction_accuracy_score,direction_f1_score,direction_precision_score,direction_recall_score,logistic_regression_optimal_cut,logistic_regression_optimal_train_set_cut,logistic_regression_test_roc_auc,logistic_regression_accuracy_score,logistic_regression_f1_score,logistic_regression_precision_score,logistic_regression_recall_score
llama3.1_8b_chat,birth_years_4k,base,main,prompt_answer,0,0,0.09104768186807632,0.09104768186807632,0.5202980386915701,0.5057803468208093,0.49853372434017595,0.5059523809523809,0.4913294797687861,0.5,0.516728585700923,0.5834809048080457,0.5578034682080925,0.5831062670299727,0.5515463917525774,0.6184971098265896
llama3.1_8b_chat,birth_years_4k,base,main,prompt_answer,0,1,-0.10220932960510254,-0.10220932960510254,0.5494410604681557,0.533816425120773,0.46831955922865015,0.5448717948717948,0.4106280193236715,0.5,0.5231097282158091,0.5962099465565125,0.5531400966183575,0.5542168674698795,0.5528846153846154,0.5555555555555556
llama3.1_8b_chat,birth_years_4k,base,main,prompt_answer,0,2,-0.2153676301240921,-0.2153676301240921,0.5251874565178181,0.5076142131979695,0.5854700854700855,0.5055350553505535,0.6954314720812182,0.5,0.5142036083836472,0.6194954778530753,0.5888324873096447,0.595,0.5862068965517241,0.6040609137055838
llama3.1_8b_chat,birth_years_4k,base,main,prompt_answer,0,3,-0.21900783479213715,-0.21900783479213715,0.5060196173753897,0.5187165775401069,0.6,0.5133079847908745,0.7219251336898396,0.5,0.502916050492675,0.5576367639909634,0.5401069518716578,0.532608695652174,0.5414364640883977,0.5240641711229946
llama3.1_8b_chat,birth_years_4k,base,main,prompt_answer,0,4,-0.10473275184631348,-0.10473275184631348,0.6089353984903441,0.556930693069307,0.5068870523415978,0.5714285714285714,0.45544554455445546,0.5,0.5289429367638888,0.5753112439956867,0.5470297029702971,0.5013623978201635,0.5575757575757576,0.45544554455445546
llama3.1_8b_chat,birth_years_4k,base,main,prompt_answer,1,0,0.04237021133303642,0.04237021133303642,0.5254435497343715,0.5086705202312138,0.4551282051282051,0.5107913669064749,0.41040462427745666,0.5,0.42895655132089777,0.645293862140399,0.6242774566473989,0.6242774566473989,0.6242774566473989,0.6242774566473989
llama3.1_8b_chat,birth_years_4k,base,main,prompt_answer,1,1,-0.21591319143772125,-0.21591319143772125,0.5509346775887418,0.5314009661835749,0.5358851674641149,0.5308056872037915,0.5410628019323671,0.5,0.48861203291494204,0.6749282363649094,0.6376811594202898,0.6341463414634146,0.6403940886699507,0.6280193236714976
llama3.1_8b_chat,birth_years_4k,base,main,prompt_answer,1,2,-0.43223756551742554,-0.43223756551742554,0.5279445489448324,0.5253807106598984,0.631163708086785,0.5161290322580645,0.8121827411167513,0.5,0.4782687521531867,0.6537916462676183,0.6269035532994924,0.6121372031662269,0.6373626373626373,0.5888324873096447
llama3.1_8b_chat,birth_years_4k,base,main,prompt_answer,1,3,-0.3384602665901184,-0.3384602665901184,0.5129972261145587,0.5294117647058824,0.6123348017621145,0.5205992509363296,0.7433155080213903,0.5,0.4602004870969958,0.6206354199433785,0.6042780748663101,0.6063829787234043,0.6031746031746031,0.6096256684491979
llama3.1_8b_chat,birth_years_4k,base,main,prompt_answer,1,4,-0.20191076397895813,-0.20191076397895813,0.6239339280462699,0.594059405940594,0.5729166666666666,0.6043956043956044,0.5445544554455446,0.5,0.4722301318374038,0.6251592981080287,0.6089108910891089,0.5885416666666666,0.6208791208791209,0.5594059405940595
llama3.1_8b_chat,birth_years_4k,base,main,prompt_answer,2,0,-0.019307401031255722,-0.019307401031255722,0.532192856426877,0.5173410404624278,0.4892966360856269,0.5194805194805194,0.4624277456647399,0.5,0.4957859911994417,0.6712218918106185,0.638728323699422,0.6312684365781711,0.6445783132530121,0.6184971098265896
llama3.1_8b_chat,birth_years_4k,base,main,prompt_answer,2,1,-0.3723761737346649,-0.3723761737346649,0.5635837475787066,0.5362318840579711,0.5384615384615384,0.5358851674641149,0.5410628019323671,0.5,0.4833962462460755,0.6925015752993069,0.6642512077294686,0.6584766584766585,0.67,0.6473429951690821
llama3.1_8b_chat,birth_years_4k,base,main,prompt_answer,2,2,-0.6034330129623413,-0.6034330129623413,0.5319384678811616,0.5177664974619289,0.623015873015873,0.511400651465798,0.7969543147208121,0.5,0.48837992622613297,0.6768017727846634,0.6370558375634517,0.6323907455012854,0.640625,0.6243654822335025
llama3.1_8b_chat,birth_years_4k,base,main,prompt_answer,2,3,-0.13491377234458923,-0.13491377234458923,0.5178014813120192,0.5026737967914439,0.4715909090909091,0.503030303030303,0.44385026737967914,0.5,0.4817062992110067,0.6583545425948697,0.6363636363636364,0.6402116402116402,0.6335078534031413,0.6470588235294118
